sampleRateHz,attenuationDb,M,tapCount,feasible,worstStopbandDb,rPeakPercent,settlingSampleSpan,settlingMs,taps
192000,0.11,13,27,1,-94.9999,10.0544,26,0.135417,"0.00119538;0.000733528;-0.00119538;0.00119538;-0.00119538;0.00119538;-0.00119538;0.00119538;-0.00119538;0.00119538;-0.00119538;-0.0615361;0.254786;0.612033;0.254786;-0.0615361;-0.00119538;0.00119538;-0.00119538;0.00119538;-0.00119538;0.00119538;-0.00119538;0.00119538;-0.00119538;0.000733528;0.00119538"
192000,0.12,13,27,1,-94.991,0.78125,26,0.135417,"-0.00179185;5.79672e-05;0.000316625;0.0040755;0.0040755;-0.00273452;-0.0040755;-0.0040755;-0.0040755;-0.0040755;-0.0040755;-0.0040755;0.259622;0.521664;0.259622;-0.0040755;-0.0040755;-0.0040755;-0.0040755;-0.0040755;-0.0040755;-0.00273452;0.0040755;0.0040755;0.000316625;5.79672e-05;-0.00179185"
192000,0.13,13,27,1,-94.9949,0.78125,26,0.135417,"-0.00138741;-4.56321e-05;-0.000244751;0.00407351;0.00407351;-0.00250753;-0.00407351;-0.00407351;-0.00407351;-0.00407351;-0.00407351;-0.00407351;0.259775;0.521409;0.259775;-0.00407351;-0.00407351;-0.00407351;-0.00407351;-0.00407351;-0.00407351;-0.00250753;0.00407351;0.00407351;-0.000244751;-4.56321e-05;-0.00138741"
192000,0.14,13,27,1,-94.9981,9.7049,26,0.135417,"0.00118522;0.000740575;-0.00118522;0.00118522;-0.00118522;0.00118522;-0.00118522;0.00118522;-0.00118522;0.00118522;-0.00118522;-0.0588923;0.254736;0.606831;0.254736;-0.0588923;-0.00118522;0.00118522;-0.00118522;0.00118522;-0.00118522;0.00118522;-0.00118522;0.00118522;-0.00118522;0.000740575;0.00118522"
192000,0.16,13,27,1,-94.9943,0.683594,26,0.135417,"-0.00336392;0.000593136;0.00249927;0.00355576;0.00355576;-0.00355576;-0.00355576;-0.00355576;-0.00355576;-0.00355576;-0.00355576;-0.00355576;0.257972;0.520157;0.257972;-0.00355576;-0.00355576;-0.00355576;-0.00355576;-0.00355576;-0.00355576;-0.00355576;0.00355576;0.00355576;0.00249927;0.000593136;-0.00336392"
192000,0.17,13,27,1,-94.9953,0.683594,26,0.135417,"-0.00277995;0.000574961;0.00170547;0.00355602;0.00355602;-0.00355602;-0.00355602;-0.00355602;-0.00355602;-0.00355602;-0.00355602;-0.00355602;0.258182;0.520195;0.258182;-0.00355602;-0.00355602;-0.00355602;-0.00355602;-0.00355602;-0.00355602;-0.00355602;0.00355602;0.00355602;0.00170547;0.000574961;-0.00277995"
192000,0.18,15,31,1,-94.9961,0.585938,30,0.15625,"-0.00237007;-0.00184788;-0.000578033;0.0030222;0.0030222;0.0030222;0.0030222;-0.0030222;-0.0030222;-0.0030222;-0.0030222;-0.0030222;-0.0030222;-0.0030222;0.255968;0.515789;0.255968;-0.0030222;-0.0030222;-0.0030222;-0.0030222;-0.0030222;-0.0030222;-0.0030222;0.0030222;0.0030222;0.0030222;0.0030222;-0.000578033;-0.00184788;-0.00237007"
192000,0.19,15,31,1,-94.9965,0.585938,30,0.15625,"-0.00302248;-0.00187397;0.00223944;0.00302248;0.00302248;0.00302248;-0.000995352;-0.00302248;-0.00302248;-0.00302248;-0.00302248;-0.00302248;-0.00302248;-0.00302248;0.257824;0.515836;0.257824;-0.00302248;-0.00302248;-0.00302248;-0.00302248;-0.00302248;-0.00302248;-0.00302248;-0.000995352;0.00302248;0.00302248;0.00302248;0.00223944;-0.00187397;-0.00302248"
192000,0.21,15,31,1,-95,0.585938,30,0.15625,"-0.00300882;-0.00245898;0.00300882;0.00300882;0.00300882;0.00300882;-0.00256564;-0.00128884;-0.00300882;-0.00300882;-0.00300882;-0.00300882;-0.00300882;-0.00300882;0.258587;0.513505;0.258587;-0.00300882;-0.00300882;-0.00300882;-0.00300882;-0.00300882;-0.00300882;-0.00128884;-0.00256564;0.00300882;0.00300882;0.00300882;0.00300882;-0.00245898;-0.00300882"
192000,0.22,15,31,1,-94.9958,0.585938,28,0.145833,"0.000269897;-0.00186196;-0.0030224;0.0030224;0.0030224;0.0030224;0.000819654;-0.0030224;-0.0030224;-0.0030224;-0.0030224;-0.0030224;-0.0030224;-0.0030224;0.257973;0.515822;0.257973;-0.0030224;-0.0030224;-0.0030224;-0.0030224;-0.0030224;-0.0030224;-0.0030224;0.000819654;0.0030224;0.0030224;0.0030224;-0.0030224;-0.00186196;0.000269897"
